Ростовская область,100.0,10.7,1.2,17.7,4.3,0.7,6.4,16.0,7.2,1.3,2.1,0.2,12.6,2.4,1.7,5.9,3.5,4.8,0.8,0.5,0.0
г. Севастополь,100.0,2.9,0.8,5.5,5.2,1.0,6.1,12.0,2.1,2.4,2.1,0.0,26.3,3.1,2.3,16.6,2.6,5.1,2.2,1.7,0.0
Северо-Кавказский федеральный округ,100.0,14.1,0.6,7.3,2.7,0.5,10.7,15.8,5.2,3.0,2.0,0.1,10.0,1.1,1.0,11.0,6.0,7.2,1.1,0.6,0.0
Республика Дагестан,100.0,16.7,0.5,4.7,1.3,0.1,15.5,20.3,5.3,5.1,1.6,0.0,7.8,0.4,0.9,6.5,5.8,5.7,1.0,0.8,0.0
Республика Ингушетия,100.0,10.5,1.4,2.8,1.6,0.8,11.9,10.1,2.0,0.3,2.4,0.0,8.0,0.4,0.6,25.5,10.0,8.0,3.5,0.2,0.0
Кабардино-Балкарская Республика,100.0,17.3,0.1,8.3,2.7,0.4,10.8,15.2,2.8,1.7,2.1,0.1,8.8,1.4,1.1,12.1,7.0,6.7,1.1,0.3,0.0
Карачаево-Черкесская Республика,100.0,18.0,1.5,10.2,6.4,0.6,7.0,8.8,2.1,0.8,1.7,0.0,8.4,1.7,1.6,14.8,7.1,6.9,1.8,0.6,0.0
Республика Северная Осетия – Алания,100.0,13.5,0.3,4.9,0.8,0.9,6.9,14.8,4.2,1.4,2.6,0.0,16.8,0.8,0.9,15.7,6.2,6.9,1.6,0.8,0.0
Чеченская Республика,100.0,10.2,1.0,2.0,2.5,0.3,11.7,12.5,3.4,2.9,1.7,0.0,10.8,0.7,0.5,18.9,10.7,8.4,1.5,0.3,0.0
Ставропольский край,100.0,12.5,0.5,11.4,4.0,0.8,7.3,14.8,6.9,2.3,2.2,0.2,11.0,1.8,1.1,9.6,4.0,8.3,0.7,0.6,0.0
федеральный округ,100.0,5.7,15.7,21.9,2.9,0.7,5.7,10.9,5.8,0.9,2.3,0.2,9.2,3.2,1.8,4.7,3.1,4.0,0.8,0.5,0.0
Республика Башкортостан,100.0,5.3,3.4,31.4,2.5,0.6,6.6,12.7,6.3,1.0,2.3,0.2,8.9,3.6,2.1,4.1,3.7,4.4,0.5,0.4,0.0
