Республика Мордовия,13160.0,489.0,23.0,759.0,89.0,75.0,1140.0,2337.0,464.0,190.0,254.0,215.0,1390.0,818.0,321.0,903.0,772.0,807.0,878.0,1234.0
Республика Татарстан,106423.0,1901.0,505.0,8926.0,414.0,642.0,15061.0,28265.0,5764.0,2094.0,3157.0,1911.0,7266.0,8584.0,4169.0,3411.0,4657.0,2410.0,2006.0,5224.0
Удмуртская Республика,33816.0,754.0,194.0,3239.0,228.0,189.0,3979.0,9220.0,1655.0,699.0,848.0,433.0,2609.0,2680.0,1212.0,1113.0,1688.0,649.0,614.0,1810.0
Чувашская Республика,20523.0,578.0,35.0,2075.0,156.0,115.0,2409.0,4808.0,972.0,575.0,484.0,296.0,1830.0,1504.0,565.0,1031.0,1007.0,479.0,383.0,1221.0
Пермский край,57867.0,1402.0,258.0,4477.0,443.0,477.0,6954.0,14206.0,3651.0,1331.0,1626.0,875.0,7017.0,4581.0,2124.0,1465.0,1566.0,1257.0,1279.0,2869.0
Кировская область,28564.0,1295.0,83.0,2826.0,328.0,216.0,2415.0,6646.0,2455.0,699.0,511.0,410.0,2929.0,1543.0,836.0,1276.0,1389.0,529.0,780.0,1397.0
Нижегородская область,78321.0,1686.0,121.0,7136.0,556.0,522.0,8715.0,22859.0,4276.0,1720.0,1954.0,1038.0,7014.0,6209.0,3159.0,1574.0,2938.0,2004.0,1332.0,3504.0
Оренбургская область,30655.0,2274.0,343.0,1921.0,272.0,332.0,3123.0,6103.0,2075.0,492.0,634.0,400.0,2319.0,2059.0,1012.0,1291.0,2129.0,1238.0,633.0,2004.0
Пензенская область,22264.0,793.0,54.0,2177.0,154.0,337.0,2103.0,4997.0,1323.0,437.0,550.0,310.0,2104.0,1409.0,570.0,1079.0,1258.0,577.0,411.0,1620.0
Самарская область,89388.0,1548.0,325.0,6992.0,403.0,537.0,11465.0,27346.0,6564.0,1921.0,2036.0,1237.0,7830.0,6590.0,3863.0,1537.0,2167.0,1718.0,1451.0,3854.0
Саратовская область,41465.0,1358.0,225.0,3041.0,364.0,403.0,3693.0,9146.0,2900.0,861.0,892.0,660.0,5665.0,3077.0,1245.0,1514.0,2370.0,910.0,948.0,2191.0
Ульяновская область,23783.0,682.0,64.0,2377.0,200.0,223.0,2350.0,5559.0,1542.0,505.0,648.0,276.0,2195.0,1699.0,755.0,819.0,1104.0,624.0,484.0,1675.0
