Пензенская область,486.6,65.8,0.4,149.5,34.3,4.0,5.3,192.0,4.4,0.1,0.3,13.9,14.2,1.7,0.0,0.0,0.5,0.0,0.1
Самарская область,2489.3,20.6,352.8,1015.4,163.6,29.7,50.6,410.4,310.8,3.5,5.2,43.7,61.1,7.3,7.4,0.0,6.3,0.2,0.6
Саратовская область,719.0,32.2,34.7,268.5,128.5,5.3,30.7,156.3,46.5,1.6,1.8,3.3,6.0,1.4,0.0,0.0,2.0,0.0,0.3
Ульяновская область,411.3,7.4,3.6,206.1,35.6,4.8,9.1,112.4,20.1,2.7,4.4,2.2,1.5,0.4,0.0,0.0,0.8,0.0,0.1
Уральский федеральный округ,15838.0,149.5,6080.8,4612.5,760.8,133.8,385.1,2056.4,928.8,19.4,54.4,99.2,410.3,112.1,2.6,0.2,28.9,1.9,1.5
Курганская область,216.7,5.7,3.4,108.4,31.2,1.3,11.3,50.2,1.3,0.7,0.2,2.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0
Свердловская область,4305.4,51.2,115.6,1947.0,188.9,68.5,97.9,1298.5,208.4,6.5,36.5,49.5,133.0,84.7,0.2,0.0,16.8,1.2,0.9
Тюменская область,8972.3,31.3,5871.3,1219.8,361.7,31.1,243.3,289.7,649.6,10.1,11.1,37.5,182.2,24.6,2.4,0.2,5.4,0.5,0.5
Ханты-Мансийский авто- номный округ – Югра,4398.9,0.4,3236.7,81.3,284.7,16.9,103.4,122.2,474.6,5.2,1.9,24.4,36.3,9.4,0.0,0.0,0.0,0.0,0.2
Ямало-Ненецкий автономный округ,3039.1,1.1,2349.1,516.5,36.9,2.6,51.4,16.1,41.2,2.1,0.6,3.2,8.6,7.4,0.0,0.0,0.7,0.0,0.2
Тюменская область без автономных округов,1534.2,29.7,285.5,621.9,40.0,11.6,88.5,151.5,133.8,2.8,8.6,9.9,137.4,7.7,0.0,0.0,4.6,0.0,0.1
Челябинская область,2343.7,61.3,90.5,1337.4,179.0,32.9,32.6,417.9,69.4,2.1,6.6,10.0,94.7,2.6,0.0,0.0,6.6,0.1,0.1
Сибирский федеральный округ,11793.6,268.6,2200.2,3656.8,939.1,88.6,265.1,2922.5,1068.5,17.0,47.4,96.3,155.0,37.0,1.0,0.1,24.6,3.4,2.5
Республика Алтай,56.6,0.5,0.0,9.6,0.8,0.2,2.3,32.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Республика Тыва,29.1,0.1,17.8,0.0,5.4,0.0,3.5,0.0,0.0,0.2,0.6,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
